Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,link,wiki_link
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,66740,1902,/wiki/3M,https://en.wikipedia.org/wiki/3M
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916,/wiki/A._O._Smith,https://en.wikipedia.org/wiki/A._O._Smith
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,1888,/wiki/Abbott_Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),/wiki/AbbVie,https://en.wikipedia.org/wiki/AbbVie
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989,/wiki/Accenture,https://en.wikipedia.org/wiki/Accenture
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,/wiki/Adobe_Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969,/wiki/AMD,https://en.wikipedia.org/wiki/AMD
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981,/wiki/AES_Corporation,https://en.wikipedia.org/wiki/AES_Corporation
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955,/wiki/Aflac,https://en.wikipedia.org/wiki/Aflac
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,1999,/wiki/Agilent_Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies
APD,Air Products,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,2969,1940,/wiki/Air_Products,https://en.wikipedia.org/wiki/Air_Products
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720,2008,/wiki/Airbnb,https://en.wikipedia.org/wiki/Airbnb
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998,/wiki/Akamai_Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994,/wiki/Albemarle_Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994,/wiki/Alexandria_Real_Estate_Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149,1997,/wiki/Align_Technology,https://en.wikipedia.org/wiki/Align_Technology
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908,/wiki/Allegion,https://en.wikipedia.org/wiki/Allegion
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917,/wiki/Alliant_Energy,https://en.wikipedia.org/wiki/Alliant_Energy
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,899051,1931,/wiki/Allstate,https://en.wikipedia.org/wiki/Allstate
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,/wiki/Alphabet_Inc.,https://en.wikipedia.org/wiki/Alphabet_Inc.
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,/wiki/Alphabet_Inc.,https://en.wikipedia.org/wiki/Alphabet_Inc.
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985,/wiki/Altria,https://en.wikipedia.org/wiki/Altria
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1018724,1994,/wiki/Amazon_(company),https://en.wikipedia.org/wiki/Amazon_(company)
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,1748790,2019 (1860),/wiki/Amcor,https://en.wikipedia.org/wiki/Amcor
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902,/wiki/Ameren,https://en.wikipedia.org/wiki/Ameren
AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",2015-03-23,6201,1934,/wiki/American_Airlines_Group,https://en.wikipedia.org/wiki/American_Airlines_Group
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906,/wiki/American_Electric_Power,https://en.wikipedia.org/wiki/American_Electric_Power
AXP,American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,4962,1850,/wiki/American_Express,https://en.wikipedia.org/wiki/American_Express
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,5272,1919,/wiki/American_International_Group,https://en.wikipedia.org/wiki/American_International_Group
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995,/wiki/American_Tower,https://en.wikipedia.org/wiki/American_Tower
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1410636,1886,/wiki/American_Water_Works,https://en.wikipedia.org/wiki/American_Water_Works
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027,1894,/wiki/Ameriprise_Financial,https://en.wikipedia.org/wiki/Ameriprise_Financial
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868,1930,/wiki/Ametek,https://en.wikipedia.org/wiki/Ametek
